ID1,ID2,RecSes1,RecSes2,MatchProb,refPopCorr,refPopRank,refPopSig
0,71,1,2,2.2649910406038e-14,0.893680971489499,1,0
2,1,1,2,0.99375515680045,0.921393181723217,1,0
5,4,1,2,0.633176827325881,0.95323999187994,1,1
6,1,1,2,1.07007655744563e-06,0.913540521205459,1,0
7,5,1,2,0.999998822188472,0.918336972460498,1,1
8,401,1,2,0.997788498738659,0.924676600905833,1,1
9,402,1,2,0.999466022134282,0.857352711288584,1,1
11,11,1,2,0.999997412286041,0.914668440398403,1,0
12,15,1,2,0.998860714867791,0.933253331898131,1,1
15,407,1,2,0.997795891888604,0.931093596660955,1,0
18,405,1,2,0.999995298380746,0.925877268663537,1,1
20,22,1,2,0.998801186944032,0.853020008034359,1,1
21,106,1,2,3.81508590264647e-09,0.793823053308262,1,0
28,33,1,2,0.10553651157491,0.927122653304436,1,1
29,32,1,2,0.999490110181173,0.943363475388189,1,0
30,80,1,2,3.1733148018972903e-10,0.895596192863645,1,0
32,35,1,2,5.38549278811213e-10,0.812960618469409,1,0
33,71,1,2,1.41360952872406e-12,0.894538181022344,1,0
34,35,1,2,0.52537480061255,0.9044098459149,1,1
35,410,1,2,0.0602134570593331,0.811669932931456,1,0
37,407,1,2,8.35080057400432e-10,0.848819627148752,1,0
38,37,1,2,0.99988513385784,0.795874552435612,1,1
40,413,1,2,1.72335150128927e-06,0.795596467678305,1,0
45,43,1,2,0.998324381485446,0.867274047795939,1,1
47,46,1,2,0.771126232735624,0.880700393201638,1,1
48,47,1,2,0.997422358463109,0.796219690954068,1,1
49,417,1,2,0.991414828630287,0.893403474791399,1,1
54,91,1,2,0.995607329189048,0.841041787505319,1,0
58,419,1,2,0.999964230450658,0.860345200884603,1,1
59,56,1,2,0.996137285069249,0.936338775646697,1,1
60,54,1,2,0.971067468407481,0.939173728625884,1,0
66,59,1,2,0.999998956066651,0.945782083871177,1,0
71,65,1,2,0.999998220272982,0.948713751717627,1,0
74,424,1,2,0.999998631646325,0.931776800394225,1,0
75,71,1,2,0.000544552115237,0.933180352460575,1,0
76,70,1,2,0.999993331965998,0.939882048226745,1,0
77,68,1,2,0.999836542850151,0.927328713011243,1,1
80,74,1,2,0.999991309036384,0.946387193185466,1,0
81,74,1,2,0.0009397976768776,0.868255642048052,1,0
85,80,1,2,0.0618704302128858,0.952973329124382,1,0
87,83,1,2,0.999130531285237,0.912875308779516,1,1
91,430,1,2,0.211687665556779,0.891911871515544,1,0
97,437,1,2,0.940990456124073,0.872114785524801,1,1
98,99,1,2,0.96576762623076,0.922117486726253,1,0
101,97,1,2,0.976332134527681,0.948863607895267,1,1
106,106,1,2,0.0091382194266282,0.934104392214626,1,1
107,109,1,2,0.740087055836196,0.882816561941917,1,0
109,107,1,2,0.0001128742305137,0.828848194641782,1,0
110,442,1,2,0.901814780246674,0.87216754000203,1,0
112,175,1,2,2.0264807655435298e-11,0.826569956257459,1,0
115,473,1,2,2.09856101231003e-14,0.764998880025711,1,0
116,114,1,2,0.991130051139334,0.86108589364633,1,1
117,447,1,2,0.201261243976573,0.864850927255976,1,0
118,448,1,2,0.408957629833497,0.856813753290882,1,0
120,404,1,2,4.35415763260143e-13,0.793408335061729,1,0
121,41,1,2,3.111094516999e-11,0.781783308678438,1,0
122,71,1,2,4.23739515907148e-11,0.867850115905445,1,0
128,118,1,2,8.21527902516223e-07,0.483740724308858,1,0
129,445,1,2,1.10888017329071e-05,0.704412156030329,1,0
131,130,1,2,0.998640999387781,0.944880667845389,1,0
134,454,1,2,7.39533818289449e-08,0.424689355393985,1,0
137,456,1,2,0.642964778911384,0.896831324135632,1,0
141,488,1,2,1.56427774672474e-14,0.746222014492363,1,0
145,468,1,2,6.95124637850845e-10,0.822639056920994,1,0
147,143,1,2,0.992177994594678,0.865821830457683,1,1
150,150,1,2,0.999801591235284,0.906843898771788,1,0
154,71,1,2,9.71381190428607e-12,0.926090055798558,1,0
158,458,1,2,0.24511801901609,0.937068505537186,1,0
162,157,1,2,0.999876377949442,0.887215602768032,1,0
163,464,1,2,3.97539154840266e-05,0.896914308905109,1,1
167,71,1,2,7.677148792414479e-11,0.848621815336952,1,0
170,165,1,2,0.0077552147849865,0.887318117586739,1,0
172,462,1,2,1.2356646661241399e-11,0.839445867290795,1,0
174,175,1,2,0.999987947385145,0.961695060964746,1,0
175,170,1,2,0.995340436266898,0.76535735710719,1,1
177,175,1,2,5.18330582900554e-06,0.822988050894459,1,0
178,179,1,2,0.99796178397901,0.889705151328914,1,1
184,187,1,2,0.0005993006589973,0.939142945155086,1,0
188,192,1,2,0.999890694396177,0.962179368425772,1,0
191,199,1,2,0.0686760414293084,0.958555927693976,1,0
194,215,1,2,2.6332784120030598e-11,0.936772594098369,1,0
196,204,1,2,0.999941197816378,0.956736636170536,1,0
197,80,1,2,8.198917421630209e-11,0.863449700547084,1,0
198,206,1,2,0.99999682169873,0.900006287130741,1,1
199,482,1,2,0.0003789846229181,0.826418963180496,1,1
200,208,1,2,0.190925089305722,0.958823711167709,1,0
201,209,1,2,0.999993147607053,0.910325570056194,1,1
203,211,1,2,0.99962141085199,0.957433239282848,1,0
204,213,1,2,0.0814802714090413,0.811002790623965,1,1
206,484,1,2,0.853488553982603,0.867370766226131,1,0
207,486,1,2,0.999858200494861,0.765575647340728,1,1
209,215,1,2,0.0070957253637165,0.968237346904839,1,0
211,488,1,2,0.002645596179409,0.92643551243914,1,0
223,232,1,2,0.999663651921379,0.830421680098693,1,0
226,237,1,2,0.715774782193141,0.954217930267551,1,0
228,496,1,2,0.401557165698233,0.879735326359947,1,0
229,238,1,2,0.999783728835814,0.938126239542443,1,0
230,240,1,2,0.475180513996873,0.957441724839816,1,1
232,244,1,2,0.0001798645227387,0.915936282369832,1,1
233,243,1,2,0.0155971324042965,0.826898160979637,1,0
234,308,1,2,5.65217330603755e-14,0.827177569610736,1,0
235,246,1,2,0.353324893475812,0.96691096213979,1,1
237,247,1,2,0.999999861591585,0.914711950090172,1,0
238,253,1,2,2.00279299837828e-08,0.791270521050514,1,0
241,250,1,2,0.999999397293424,0.967116623442008,1,0
244,253,1,2,0.99999985412377,0.939477306486036,1,1
246,254,1,2,0.99571284619327,0.92971129312827,1,0
247,255,1,2,0.0030742399036381,0.965984518287254,1,0
248,256,1,2,0.999999994728238,0.96437986730622,1,0
250,259,1,2,0.999437938099549,0.967673670571054,1,0
251,260,1,2,0.989308744406778,0.959319957930819,1,0
252,253,1,2,8.08041547208911e-11,0.778600931242209,1,0
253,502,1,2,0.997682664274615,0.944865789112828,1,0
254,329,1,2,0.999041927884711,0.969911391659125,1,0
255,330,1,2,0.922349136553052,0.925539406324611,1,1
256,259,1,2,0.0001229372380782,0.92407391343104,1,0
261,266,1,2,0.970500649502047,0.951749695736737,1,1
262,266,1,2,0.0009316122253275,0.892398944163544,1,0
267,268,1,2,0.999286645205232,0.926973633098626,1,1
268,270,1,2,0.535157191085557,0.972299922165027,1,0
271,505,1,2,0.011992106425172,0.930127604115262,1,1
273,275,1,2,0.999995418125585,0.90867491623873,1,1
275,278,1,2,0.99999963103857,0.947497031613904,1,1
278,281,1,2,0.977668607442991,0.902091878070632,1,1
283,290,1,2,0.948761355111355,0.956764348878252,1,0
284,291,1,2,0.0553850314061067,0.918797794958222,1,0
286,303,1,2,1.23556010132846e-08,0.858137036569404,1,0
287,289,1,2,0.999978789018411,0.931734467366765,1,1
288,296,1,2,0.999995875106133,0.92791691792547,1,1
290,294,1,2,0.997561574636119,0.848713288776017,1,1
291,293,1,2,0.987613397966241,0.959969927813865,1,0
292,512,1,2,0.999439827564573,0.928716916210808,1,1
294,264,1,2,1.1945220712422599e-11,0.841386537762308,1,0
295,299,1,2,0.999989274756255,0.948104894134448,1,0
296,308,1,2,9.98627247237856e-05,0.87347166346488,1,0
299,293,1,2,1.74863656985893e-05,0.881264747627697,1,0
300,303,1,2,0.999999976114842,0.917360840091596,1,1
301,580,1,2,0.173975536636032,0.920244010648577,1,0
303,307,1,2,0.09753255502128,0.925268494079141,1,0
304,315,1,2,1.69932267428882e-11,0.797655956412358,1,0
305,308,1,2,0.999995715983994,0.939611483096191,1,1
309,308,1,2,0.0015090488890208,0.763807851988519,1,0
311,316,1,2,0.539978703325424,0.960357759113999,1,0
317,304,1,2,1.2966072722299598e-11,0.833491861139156,1,0
320,328,1,2,0.996589474925366,0.922878496491406,1,0
322,299,1,2,2.38203620953577e-13,0.864436583897165,1,0
324,333,1,2,0.0186315802848336,0.925986874479642,1,0
326,250,1,2,6.50249476759612e-10,0.96142827467383,1,0
328,526,1,2,0.999924585668307,0.88603910139317,1,1
332,344,1,2,0.99684277713375,0.958726533461604,1,1
334,343,1,2,0.999954750792853,0.975139686175459,1,0
335,345,1,2,0.888177055984855,0.933818384864981,1,0
336,581,1,2,0.0333085343466059,0.834747652983087,1,0
340,349,1,2,0.0065091307771156,0.939190056187609,1,0
341,351,1,2,0.0033145992438463,0.963358722467173,1,0
342,353,1,2,0.874255851730836,0.944568683901826,1,0
343,355,1,2,0.988689568458752,0.931798418387741,1,1
344,358,1,2,0.0016112107823462,0.850635682923065,1,0
346,361,1,2,0.998699551412149,0.918577126475769,1,1
348,372,1,2,3.52865501217309e-06,0.875099462259703,1,0
350,365,1,2,0.0010009206836878,0.94409288423703,1,1
351,351,1,2,1.21842180619489e-10,0.944827021593216,1,0
352,358,1,2,6.57796098538e-09,0.750818118660942,1,0
356,375,1,2,0.996089922238852,0.924660659127447,1,0
357,351,1,2,4.12512939511012e-12,0.842559702350492,1,0
361,351,1,2,1.15486464514665e-13,0.890212735039846,1,0
362,372,1,2,0.999519126234734,0.9397755312032,1,1
363,371,1,2,0.999999475203126,0.973722805551275,1,0
364,372,1,2,1.07312133706308e-05,0.762076616981721,1,0
369,382,1,2,0.199183770584178,0.94514903413726,1,0
371,584,1,2,0.606663236260392,0.923545229142799,1,1
372,393,1,2,6.90199808819188e-08,0.919882628271034,1,0
373,387,1,2,0.999995499961079,0.944919629142984,1,1
374,385,1,2,0.999991058426759,0.942654970469631,1,1
379,392,1,2,0.982333355929296,0.903296625643352,1,0
380,343,1,2,7.889870068399531e-14,0.928215381911773,1,0
383,393,1,2,0.99809683822144,0.97474222157899,1,0
385,397,1,2,0.999153636535667,0.972086412434972,1,0
387,68,1,2,7.608865463809421e-09,0.735361832768379,1,0
388,408,1,2,0.91903789533477,0.836218018327518,1,1
390,1,1,2,1.43107330998016e-05,0.825848609910901,1,0
392,26,1,2,0.999408773311081,0.910650662978393,1,1
393,28,1,2,0.992480806455034,0.930973103020685,1,0
394,27,1,2,0.999958249392616,0.844940034804671,1,1
